"","pcrDup","sampleId"
"1",0.008821,"AT_gr_12_fall"
"2",0.010806,"AT_gr_12_spring"
"3",0.042816,"AT_Mau_14_01"
"4",0.055236,"AT_Mau_14_02"
"5",0.154098,"AT_Mau_15_50"
"6",0.149649,"AT_Mau_15_51"
"7",0.05946,"AT_See_14_44"
"8",0.183375,"AT_See_16_1"
"9",0.134537,"BY_Bre_15_13"
"10",0.076885,"CA_es_12_fall"
"11",0.065526,"CA_es_12_frost"
"12",0.103611,"CA_es_12_spring"
"13",0.064707,"CA_es_13_fall"
"14",0.048427,"CA_es_13_spring"
"15",0.094957,"CA_pl_12_fall"
"16",0.059213,"CA_pl_12_frost"
"17",0.046445,"CA_pl_13_fall"
"18",0.06674,"CA_pl_13_frost"
"19",0.106034,"CA_st_12_fall"
"20",0.091804,"CA_st_12_frost"
"21",0.052754,"CA_st_13_fall"
"22",0.099428,"CA_tu_12_fall"
"23",0.084063,"CA_tu_12_frost"
"24",0.048895,"CA_tu_13_fall"
"25",0.06462,"CA_tu_13_frost"
"26",0.060532,"CA_tu_13_spring"
"27",0.132327,"CH_Cha_14_42"
"28",0.040219,"CH_Cha_14_43"
"29",0.134742,"CH_Cha_15_39"
"30",0.191148,"CH_Cha_16_38"
"31",0.052204,"CY_Nic_14_11"
"32",0.04575,"DE_Bro_14_14"
"33",0.039734,"DE_Bro_14_15"
"34",0.201164,"DE_Bro_15_53"
"35",0.183112,"DE_Bro_15_54"
"36",0.156748,"DE_Bro_16_10"
"37",0.163237,"DE_Bro_16_11"
"38",0.050847,"DE_Mun_14_31"
"39",0.064197,"DE_Mun_14_32"
"40",0.236637,"DE_Mun_15_45"
"41",0.152663,"DE_Mun_15_46"
"42",0.163202,"DE_Mun_16_12"
"43",0.176414,"DE_Mun_16_13"
"44",0.074362,"DK_Kar_14_39"
"45",0.052625,"DK_Kar_14_41"
"46",0.183876,"DK_Kar_16_2"
"47",0.181549,"DK_Kar_16_3"
"48",0.18824,"DK_Kar_16_4"
"49",0.022481,"ES_ba_12_fall"
"50",0.014869,"ES_ba_12_spring"
"51",0.167135,"ES_Ben_16_32"
"52",0.179748,"ES_Cor_15_33"
"53",0.053073,"ES_Gim_14_34"
"54",0.062317,"ES_Gim_14_35"
"55",0.141248,"ES_Gim_15_30"
"56",0.123251,"ES_Gim_15_31"
"57",0.179737,"ES_Gim_16_33"
"58",0.156623,"ES_Gim_16_34"
"59",0.148399,"ES_Gua_15_32"
"60",0.15258,"ES_Pur_16_35"
"61",0.164782,"ES_Tom_15_28"
"62",0.12737,"ES_Tom_15_29"
"63",0.188277,"ES_Tom_16_36"
"64",0.191593,"ES_Tom_16_37"
"65",0.067885,"FI_Aka_14_36"
"66",0.067073,"FI_Aka_14_37"
"67",0.126069,"FI_Aka_15_34"
"68",0.145372,"FI_Aka_15_35"
"69",0.150242,"FI_Aka_16_5"
"70",0.180264,"FI_Aka_16_6"
"71",0.082584,"FI_Ves_14_38"
"72",0.191359,"FI_Ves_16_7"
"73",0.031077,"FL_ho_10_fall"
"74",0.031593,"FL_ho_10_spring"
"75",0.050786,"FR_Got_14_08"
"76",0.177958,"FR_Got_15_47"
"77",0.217171,"FR_Got_15_48"
"78",0.153671,"FR_Got_15_49"
"79",0.14454,"FR_Got_16_8"
"80",0.046538,"FR_Vil_14_05"
"81",0.047849,"FR_Vil_14_07"
"82",0.137522,"FR_Vil_15_40"
"83",0.117909,"FR_Vil_15_41"
"84",0.173542,"FR_Vil_16_9"
"85",0.15896,"GA_at_14_fall"
"86",0.09753,"GA_at_14_spring"
"87",0.039446,"GA_ha_08_spring"
"88",0.121929,"GS_Des_15_1"
"89",0.158684,"GS_Sai_15_2"
"90",0.147613,"HU_Sze_16_14"
"91",0.22224,"IL_ur_15_spring"
"92",0.129058,"IT_Mez_15_43"
"93",0.114504,"IT_Mez_15_44"
"94",0.149157,"IT_Tre_16_15"
"95",0.321047,"KA_to_14_fall"
"96",0.28913,"KA_to_14_spring"
"97",0.016558,"MA_la_12_fall"
"98",0.026268,"MA_la_12_spring"
"99",0.110482,"MA_la_14_fall"
"100",0.283626,"MA_la_14_spring"
"101",0.04781,"ME_bo_09_fall.r1"
"102",0.040158,"ME_bo_09_fall.r2"
"103",0.237173,"MI_bh_14_fall"
"104",0.156245,"MI_bh_14_spring"
"105",0.011569,"NC_ra_03_n"
"106",0.013869,"NY_it_12_fall"
"107",0.01222,"NY_it_12_spring"
"108",0.065692,"ON_su_15_fall"
"109",0.165494,"ON_su_15_spring"
"110",0.026872,"PA_li_09_fall"
"111",0.074483,"PA_li_09_spring"
"112",0.019565,"PA_li_10_fall"
"113",0.059969,"PA_li_10_spring"
"114",0.080458,"PA_li_11_fall"
"115",0.003154,"PA_li_11_frost"
"116",0.006151,"PA_li_11_spring"
"117",0.020631,"PA_li_12_fall"
"118",0.019016,"PA_li_12_spring"
"119",0.020385,"PA_li_12_sum"
"120",0.419782,"PA_li_13_spring"
"121",0.310347,"PA_li_14_fall"
"122",0.49516,"PA_li_14_spring"
"123",0.111423,"PA_li_15_fall"
"124",0.204504,"PA_li_15_spring"
"125",0.407392,"PA_st_14_fall"
"126",0.357067,"PA_st_14_spring"
"127",0.251076,"PA_st_15_spring"
"128",0.133762,"PO_Brz_15_12"
"129",0.173998,"PO_Brz_16_17"
"130",0.163611,"PO_Gda_16_16"
"131",0.061056,"PT_Rec_14_33"
"132",0.117283,"PT_Rec_15_16"
"133",0.172094,"PT_Rec_16_18"
"134",0.176491,"RS_Kal_16_28"
"135",0.187528,"RS_Kal_16_29"
"136",0.165935,"RS_Sla_16_30"
"137",0.168982,"RS_Sla_16_31"
"138",0.29077,"RU_Ale_15_55"
"139",0.176658,"RU_Ale_16_22"
"140",0.133673,"RU_tul_15_37"
"141",0.056572,"RU_Val_14_51"
"142",0.143804,"RU_val_15_36"
"143",0.130595,"RU_val_15_38"
"144",0.158236,"RU_Val_16_19"
"145",0.186317,"RU_Val_16_20"
"146",0.196995,"RU_Val_16_21"
"147",0.027675,"SC_eu_10_spring"
"148",0.061265,"SE_Lun_14_30"
"149",0.293154,"SE_Lun_15_14"
"150",0.176967,"SE_Lun_15_15"
"151",0.039852,"TR_Yes_14_03"
"152",0.05385,"TR_Yes_14_04"
"153",0.277378,"TR_Yes_15_3"
"154",0.625451,"TR_Yes_15_4"
"155",0.216894,"TR_Yes_15_5"
"156",0.215567,"TR_Yes_15_6"
"157",0.841191,"TR_Yes_15_7"
"158",0.118591,"TR_Yes_15_8"
"159",0.205161,"TR_Yes_16_39"
"160",0.17353,"TR_Yes_16_40"
"161",0.168822,"TR_Yes_16_41"
"162",0.164749,"TR_Yes_16_42"
"163",0.186364,"TR_Yes_16_43"
"164",0.16795,"TR_Yes_16_52"
"165",0.058457,"UA_Che_14_28"
"166",0.059239,"UA_Che_14_29"
"167",0.045853,"UA_Che_14_47"
"168",0.051664,"UA_Che_14_48"
"169",0.276602,"UA_Cho_15_24"
"170",0.137241,"UA_Cho_15_25"
"171",0.28665,"UA_Cho_15_26"
"172",0.169818,"UA_Cho_15_27"
"173",0.205149,"UA_Cho_15_65"
"174",0.181545,"UA_Cho_15_67"
"175",0.19722,"UA_Cho_15_68"
"176",0.181945,"UA_Cho_15_69"
"177",0.168089,"UA_Cho_15_70"
"178",0.173293,"UA_Cho_16_54"
"179",0.20718,"UA_Cho_16_55"
"180",0.183534,"UA_Cho_16_62"
"181",0.088388,"UA_Dro_14_27"
"182",0.093283,"UA_Dro_15_10"
"183",0.187029,"UA_Dro_16_56"
"184",0.179367,"UA_Kan_16_57"
"185",0.055173,"UA_Kha_14_45"
"186",0.069371,"UA_Kha_14_46"
"187",0.143993,"UA_Kha_15_19"
"188",0.184154,"UA_Kha_16_58"
"189",0.122904,"UA_Kyi_14_23"
"190",0.067444,"UA_Kyi_14_24"
"191",0.040268,"UA_Kyi_14_49"
"192",0.213071,"UA_Kyi_15_64"
"193",0.188376,"UA_Kyi_16_44"
"194",0.185772,"UA_Kyi_16_45"
"195",0.211928,"UA_Kyi_16_59"
"196",0.28109,"UA_od_13_fall"
"197",0.513919,"UA_od_13_spring"
"198",0.050036,"UA_Ode_14_19"
"199",0.047506,"UA_Ode_14_20"
"200",0.04302,"UA_Ode_14_21"
"201",0.063259,"UA_Ode_14_22"
"202",0.108891,"UA_Ode_15_11"
"203",0.149142,"UA_Ode_15_20"
"204",0.111936,"UA_Ode_15_22"
"205",0.183239,"UA_Ode_15_66"
"206",0.162034,"UA_Ode_16_46"
"207",0.180551,"UA_Ode_16_47"
"208",0.104478,"UA_Pir_14_26"
"209",0.17194,"UA_Pir_15_21"
"210",0.211323,"UA_Pyr_16_48"
"211",0.225476,"UA_Pyr_16_49"
"212",0.04376,"UA_Uma_14_50"
"213",0.110781,"UA_Uma_15_9"
"214",0.146808,"UA_Uma_16_50"
"215",0.162245,"UA_Uma_16_51"
"216",0.071951,"UA_Var_14_25"
"217",0.135328,"UA_Var_15_18"
"218",0.184572,"UA_Var_16_60"
"219",0.046786,"UA_Yal_14_16"
"220",0.051918,"UA_Yal_14_18"
"221",0.297644,"UA_Yal_15_23"
"222",0.193537,"UA_Yal_15_63"
"223",0.193563,"UA_Yal_16_61"
"224",0.175672,"UK_Dai_15_52"
"225",0.177464,"UK_Dai_16_23"
"226",0.047403,"UK_Lut_14_13"
"227",0.056408,"UK_Mar_14_12"
"228",0.125144,"UK_Mar_15_42"
"229",0.200135,"UK_Mar_16_53"
"230",0.025167,"UK_She_14_09"
"231",0.272968,"UK_She_15_17"
"232",0.045413,"UK_Sou_14_10"
"233",0.012604,"VA_ch_12_fall"
"234",0.0358,"VA_ch_12_spring"
"235",0.243747,"VA_ch_14_fall"
"236",0.443076,"VA_ch_14_spring"
"237",0.119632,"VA_ch_15_fall"
"238",0.165089,"VA_ch_15_spring"
"239",0.005192,"WA_se_14_spring"
"240",0.014206,"WI_cp_12_fall"
"241",0.013553,"WI_cp_12_frost"
"242",0.018408,"WI_cp_12_spring"
"243",0.462848,"WI_cp_13_fall"
"244",0.156636,"WI_cp_13_spring"
"245",0.004541,"WI_cp_14_fall"
"246",0.220671,"WI_cp_14_spring"
